network_id,property_id,abstract_time,total_time,size
1_1,0,45.87775445,882.2377105,910
1_1,1,45.21003056,821.9952586,910
1_1,2,41.48302102,792.6272199,910
1_1,3,41.91351604,43.04052067,710
1_1,4,44.27117133,45.33535099,710
1_1,5,51.6999917,52.95211434,710
1_1,6,55.32920909,870.6074719,910
1_1,7,42.89630008,803.469893,910
1_1,8,41.08935857,791.9965997,910
1_1,9,42.37123299,43.54962206,710
1_1,10,50.06682229,51.49174404,710
1_1,11,54.82385778,56.03639174,710
1_1,12,54.5978694,55.74718571,710
1_1,13,52.2274456,69.96489835,710
1_1,14,49.50761747,50.67101359,710
1_1,15,51.98218656,53.14175344,710
1_1,16,53.7274313,54.93166471,710
1_1,17,54.3891902,71.88837361,710
1_1,18,52.14693546,854.6597042,910
1_1,19,42.61611271,43.70461321,710
network_id,property_id,abstract_time,total_time,size
1_2,0,42.60017753,43.65634561,710
1_2,1,42.49226499,58.20305085,710
1_2,2,42.93582606,43.99918175,710
1_2,3,40.12044764,1217.194257,910
1_2,4,45.52622294,46.60098124,710
1_2,5,42.48871255,43.55728269,710
1_2,6,42.46998239,770.4526615,907
1_2,7,43.65787101,44.71247172,710
1_2,8,43.55417871,44.63905811,710
1_2,9,43.47395182,44.51990271,710
1_2,10,49.20126987,50.37028456,710
1_2,11,49.565552,50.67987776,710
1_2,12,49.4840641,50.60183811,710
1_2,13,49.18117309,50.54044342,710
1_2,14,49.18279886,50.4319768,710
1_2,15,43.17541623,851.4599428,908
1_2,16,43.83423805,44.91596508,710
1_2,17,46.509444,62.76893401,710
1_2,18,46.04707289,62.75659275,710
1_2,19,46.45305467,47.54167724,710
network_id,property_id,abstract_time,total_time,size
1_3,0,45.87366295,62.09977293,710
1_3,1,45.51916289,820.2034514,909
1_3,2,42.75399661,825.4632525,908
1_3,3,43.58352399,834.5074542,910
1_3,4,44.01033592,911.1065149,908
1_3,5,43.25680637,821.0422673,910
1_3,6,42.6640029,800.1552439,910
1_3,7,44.04779005,808.952162,908
1_3,8,41.36840296,814.0727508,910
1_3,9,43.49932551,795.7061808,910
1_3,10,47.57380104,837.7694912,910
1_3,11,40.80730176,942.9732714,909
1_3,12,43.49497128,834.2727959,909
1_3,13,39.99925232,798.0185521,910
1_3,14,45.22956204,803.4833114,910
1_3,15,45.63894701,848.2610843,909
1_3,16,40.17078018,809.1739523,909
1_3,17,45.9353044,805.0925937,910
1_3,18,40.78364968,797.5526333,910
1_3,19,44.29555535,808.0869551,909
network_id,property_id,abstract_time,total_time,size
1_4,0,42.66291094,803.0497932,910
1_4,1,46.07102251,47.16723704,710
1_4,2,46.72500181,47.85525346,710
1_4,3,45.98623252,47.08407354,710
1_4,4,47.00661469,48.13236547,710
1_4,5,45.31753278,46.46700001,710
1_4,6,44.96821618,46.14506936,710
1_4,7,43.72060513,44.85595083,710
1_4,8,42.883564,44.05131435,710
1_4,9,43.80639958,44.88373947,710
1_4,10,41.02498865,42.10416007,710
1_4,11,43.14798021,822.859551,909
1_4,12,42.37340856,43.44084692,710
1_4,13,45.1412394,46.21051741,710
1_4,14,42.52212906,43.60247087,710
1_4,15,42.9591372,926.2016242,910
1_4,16,41.33650422,42.41347289,710
1_4,17,41.9141264,43.04718208,710
1_4,18,43.20354438,44.2842555,710
1_4,19,42.97075343,44.03271699,710
network_id,property_id,abstract_time,total_time,size
1_5,0,46.22334075,47.41345406,710
