network_id,property_id,abstract_time,total_time,size
1_1,0,15.73666152,1790.274994,815
1_1,1,19.37035007,1287.494346,819
1_1,2,21.21542538,866.3975269,894
1_1,3,12.81791249,3347.577555,910
1_1,4,8.462096212,1576.302855,910
1_1,5,16.99370992,2401.375297,910
1_1,6,13.22098971,1836.027682,785
1_1,7,19.63626921,1043.833041,910
1_1,8,20.77483311,1919.15248,740
1_1,9,-,3600,-
1_1,10,15.39613683,2256.703767,898
1_1,11,16.61054299,1990.325202,887
1_1,12,16.65429335,517.3557769,835
1_1,13,14.33812379,636.7014313,910
1_1,14,12.00923069,1526.097333,802
1_1,15,15.23170253,19.21928857,661
1_1,16,14.11859324,1631.715446,848
1_1,17,17.17189673,541.6921174,910
1_1,18,12.69509227,609.7990727,910
1_1,19,18.55411745,1582.465205,861
network_id,property_id,abstract_time,total_time,size
1_2,0,-,3600,-
1_2,1,-,3600,-
1_2,2,16.83955552,1795.312848,867
1_2,3,13.56816554,1721.304726,910
1_2,4,15.95208879,935.4730558,910
1_2,5,13.87069935,1887.048709,865
1_2,6,17.74466517,530.0404893,910
1_2,7,-,3600,-
1_2,8,17.74909928,1074.089922,910
1_2,9,-,3600,-
1_2,10,-,3600,-
1_2,11,15.1036385,1214.118872,893
1_2,12,-,3600,-
1_2,13,11.99128901,1302.695255,808
1_2,14,12.97910728,1378.872297,771
1_2,15,16.02182493,681.0726807,910
1_2,16,14.66697187,1823.522023,910
1_2,17,16.8520126,584.1341659,910
1_2,18,-,3600,-
1_2,19,15.20730855,1770.889325,910
network_id,property_id,abstract_time,total_time,size
1_3,0,-,3600,-
1_3,1,-,3600,-
1_3,2,14.4961832,1730.945031,795
1_3,3,-,3600,-
1_3,4,-,3600,-
1_3,5,-,3600,-
1_3,6,18.17687576,1334.767437,910
1_3,7,-,3600,-
1_3,8,-,3600,-
1_3,9,-,3600,-
1_3,10,-,3600,-
1_3,11,-,3600,-
1_3,12,-,3600,-
1_3,13,14.86887482,3310.267348,767
1_3,14,12.6195439,2252.669317,851
1_3,15,12.0909931,2711.71839,910
1_3,16,14.5567662,1876.350199,842
1_3,17,-,3600,-
1_3,18,-,3600,-
1_3,19,-,3600,-
network_id,property_id,abstract_time,total_time,size
1_4,0,-,3600,-
1_4,1,-,3600,-
1_4,2,12.80413228,31.00512717,775
1_4,3,-,3600,-
1_4,4,13.49078074,776.5632236,910
1_4,5,19.74776461,2546.750685,814
1_4,6,18.45681935,57.85055031,781
1_4,7,-,3600,-
1_4,8,15.63382394,1699.786594,832
1_4,9,19.54016419,628.621213,814
1_4,10,-,3600,-
1_4,11,-,3600,-
1_4,12,-,3600,-
1_4,13,18.96877521,1012.683171,910
1_4,14,16.64953593,972.466375,902
1_4,15,15.89432727,1609.084819,910
1_4,16,21.50278266,664.6262619,910
1_4,17,-,3600,-
1_4,18,-,3600,-
1_4,19,16.57612237,1386.130645,896
network_id,property_id,abstract_time,total_time,size
1_5,0,-,3600,-
1_5,1,16.05534798,2197.631048,910
1_5,2,17.36513076,505.0767092,850
1_5,3,13.89058663,2985.140493,910
1_5,4,10.27155986,709.2067377,879
1_5,5,19.10948549,1196.503614,910
1_5,6,8.285895245,1033.615292,804
1_5,7,-,3600,-
1_5,8,12.44257632,1537.627965,910
1_5,9,-,3600,-
1_5,10,14.07523695,2477.338326,785
1_5,11,-,3600,-
1_5,12,-,3600,-
1_5,13,17.11284304,1581.504896,889
1_5,14,15.56349597,1325.272876,910
1_5,15,-,3600,-
1_5,16,17.79781029,505.049348,836
1_5,17,-,3600,-
1_5,18,-,3600,-
1_5,19,22.45057472,618.5620859,868
network_id,property_id,abstract_time,total_time,size
1_6,0,-,3600,-
1_6,1,23.53873314,2722.485609,879
1_6,2,12.782609,1427.917551,910
1_6,3,17.92604945,547.2240275,848
1_6,4,14.67625427,1581.014884,894
1_6,5,12.88812355,1121.84966,883
1_6,6,14.28589306,1107.636352,820
1_6,7,-,3600,-
1_6,8,-,3600,-
1_6,9,-,3600,-
1_6,10,-,3600,-
1_6,11,-,3600,-
1_6,12,-,3600,-
1_6,13,-,3600,-
1_6,14,14.83571361,25.15792106,771
1_6,15,-,3600,-
1_6,16,21.02285949,1931.196302,910
1_6,17,-,3600,-
1_6,18,-,3600,-
1_6,19,17.53078451,1607.742196,870
network_id,property_id,abstract_time,total_time,size
1_7,0,19.49766272,21.64164102,72
1_7,1,16.77751513,18.42273854,72
1_7,2,18.03149848,20.02298021,72
1_7,3,11.88427802,14.34563219,72
1_7,4,14.4775537,17.7620735,72
1_7,5,16.095818,18.89609856,72
1_7,6,13.43153925,15.40500109,72
1_7,7,12.7823656,15.25140941,72
1_7,8,11.82995873,14.18324533,72
1_7,9,21.96206571,23.34230098,72
1_7,10,12.87528872,14.94586464,72
1_7,11,19.11147336,21.81997631,72
1_7,12,12.20318264,14.33675017,72
1_7,13,16.73827255,19.87454049,72
1_7,14,13.56808189,16.27137537,72
1_7,15,16.16902807,18.19099432,72
1_7,16,14.66595244,16.1300698,72
1_7,17,13.29784952,15.72690512,72
1_7,18,13.12539761,14.82149452,72
1_7,19,15.72150087,18.38595442,72
network_id,property_id,abstract_time,total_time,size
1_8,0,-,3600,-
1_8,1,17.19852354,828.3817308,910
1_8,2,-,3600,-
1_8,3,15.33320588,979.0802485,822
1_8,4,18.69165269,582.7787825,857
1_8,5,22.36363151,1715.030388,910
1_8,6,19.11466661,564.335487,910
1_8,7,-,3600,-
1_8,8,16.92925451,651.9642088,910
1_8,9,-,3600,-
1_8,10,-,3600,-
1_8,11,18.28227631,71.21127276,736
1_8,12,-,3600,-
1_8,13,12.12195191,1541.689601,910
1_8,14,-,3600,-
1_8,15,15.63421535,3513.248116,901
1_8,16,17.69196493,2258.923861,910
1_8,17,-,3600,-
1_8,18,-,3600,-
1_8,19,16.22464525,1128.538739,864
network_id,property_id,abstract_time,total_time,size
1_9,0,-,3600,-
1_9,1,-,3600,-
1_9,2,-,3600,-
1_9,3,-,3600,-
1_9,4,17.95051809,1565.025923,872
1_9,5,14.93789967,1236.581391,889
1_9,6,18.19025911,2492.668058,833
1_9,7,-,3600,-
1_9,8,18.59036606,2548.494177,850
1_9,9,-,3600,-
1_9,10,-,3600,-
1_9,11,-,3600,-
1_9,12,16.99313159,2805.907176,910
1_9,13,18.98543127,1435.563578,910
1_9,14,16.54227022,1118.86066,910
1_9,15,-,3600,-
1_9,16,11.6915245,1974.456922,910
1_9,17,-,3600,-
1_9,18,-,3600,-
