network_id,property_id,abstract_time,total_time,size
1_1,0,1.917625666,6.171861172,160
1_1,1,1.790291309,1.894055605,123
1_1,2,0,0.831403017,310
1_1,3,1.931016207,2.385457516,122
1_1,4,0,0.909398794,310
1_1,5,0,0.857804298,310
1_1,6,0,0.847591162,310
1_1,7,2.226964951,6.488122225,139
1_1,8,2.330187321,3.372896433,154
1_1,9,3.421186447,47.65474319,211
1_1,10,3.343545437,16.83928919,208
1_1,11,5.624193907,753.2604854,236
1_1,12,0,1.20552516,310
1_1,13,1.611613035,1.69285655,100
1_1,14,0,0.871833086,310
1_1,15,0,0.832342148,310
1_1,16,0,1.088756323,310
1_1,17,2.446426392,48.08279657,194
1_1,18,2.239010334,9.239928722,184
1_1,19,1.429048061,1.532084465,94
network_id,property_id,abstract_time,total_time,size
1_2,0,2.155820847,8.106467724,165
1_2,1,1.897140265,2.421204805,140
1_2,2,1.585012197,1.61254096,102
1_2,3,2.429178238,5.260988712,170
1_2,4,0,1.226248741,310
1_2,5,0,1.097047567,310
1_2,6,0,1.535620213,310
1_2,7,2.14450407,11.90876865,186
1_2,8,1.781625509,3.094527006,152
1_2,9,2.625883579,9.929869175,199
1_2,10,1.88091898,5.73824954,189
1_2,11,3.364414215,2347.075825,227
1_2,12,1.98212862,4.776869297,162
1_2,13,1.79363203,2.064403534,130
1_2,14,0,1.274238348,310
1_2,15,2.906273603,51.09466314,173
1_2,16,1.912650585,2.1180408,108
1_2,17,2.263817072,135.548836,200
1_2,18,1.736955166,22.86479688,175
1_2,19,2.42359376,2.469528675,107
network_id,property_id,abstract_time,total_time,size
1_3,0,3.151135445,26.97665858,220
1_3,1,2.477981806,163.5899997,236
1_3,2,2.41657877,2.681735277,139
1_3,3,3.867734671,82.74487162,229
1_3,4,2.018018961,4.887597322,185
1_3,5,2.236306429,4.598484039,182
1_3,6,0,1.252244711,310
1_3,7,2.6171,17.35432792,210
1_3,8,2.239281416,173.6338327,230
1_3,9,3.170728922,31.99033618,227
1_3,10,2.387511015,23.4573648,214
1_3,11,3.163707972,3328.565119,250
1_3,12,4.223491907,25.55285668,218
1_3,13,2.466884613,4.501118898,203
1_3,14,2.243831635,3.617304564,193
1_3,15,2.099543333,7.817569733,189
1_3,16,0,1.205216169,310
1_3,17,2.699387312,181.2433126,218
1_3,18,1.994628668,27.23579454,202
1_3,19,2.216902971,18.60877752,203
network_id,property_id,abstract_time,total_time,size
1_4,0,2.146784544,15.80048084,204
1_4,1,3.284235239,7.087053061,225
1_4,2,1.834892988,2.381437063,156
1_4,3,4.153279781,150.5516353,224
1_4,4,0,1.382658005,310
1_4,5,1.797355175,2.450381517,158
1_4,6,2.17821312,2.488450527,164
1_4,7,2.374744415,11.97121429,186
1_4,8,2.270471811,8.475615501,205
1_4,9,2.550519943,337.4373748,231
1_4,10,2.624958754,7.065277576,188
1_4,11,4.122747183,1600.19194,250
1_4,12,2.189948559,12.63915038,185
1_4,13,0,1.233423233,310
1_4,14,0,1.084637642,310
1_4,15,2.322391033,10.78357458,171
1_4,16,2.056004524,5.569341183,172
1_4,17,1.974467993,31.18595266,200
1_4,18,3.794298649,75.88031054,220
1_4,19,1.797795773,5.013403416,152
network_id,property_id,abstract_time,total_time,size
1_5,0,2.281331301,53.12100434,189
1_5,1,2.055345058,4.222047329,186
1_5,2,1.971616268,2.745787382,165
1_5,3,1.867352724,5.544184446,192
1_5,4,0,0.987561464,310
1_5,5,1.977320194,2.92714119,182
1_5,6,0,1.028719187,310
1_5,7,2.31192255,4.199736595,168
1_5,8,2.292587757,3.676591396,181
1_5,9,2.498655081,39.7752223,224
1_5,10,2.734593391,7.15563345,182
1_5,11,3.085838795,622.2145009,243
1_5,12,2.18171072,30.40451574,176
1_5,13,1.644433022,1.755453348,110
1_5,14,0,0.995869637,310
1_5,15,2.516916752,223.2606988,228
1_5,16,3.016608238,16.38067055,210
1_5,17,2.335155249,15.40373206,190
1_5,18,2.877928972,39.10306144,221
1_5,19,2.719586372,5.097736597,175
network_id,property_id,abstract_time,total_time,size
1_6,0,2.29696846,17.33640623,179
1_6,1,0,1.03295517,310
1_6,2,0,1.060740948,310
1_6,3,1.997551441,7.252917767,175
1_6,4,0,1.085447311,310
1_6,5,0,1.045372725,310
1_6,6,0,1.007334471,310
1_6,7,2.507929087,13.8844285,181
1_6,8,2.202834129,11.24246645,199
1_6,9,2.35080409,63.41089869,228
1_6,10,2.036908627,3.824829102,176
1_6,11,2.282833099,745.0762031,221
1_6,12,2.825348377,19.68662119,206
1_6,13,1.738594532,4.095466375,154
1_6,14,-,3600,-
1_6,15,2.576812029,7.965122938,204
1_6,16,-,3600,-
1_6,17,2.474202394,1574.960569,245
1_6,18,2.794226885,99.85032415,243
1_6,19,2.087737322,10.25148821,174
network_id,property_id,abstract_time,total_time,size
1_7,0,0,1.846288204,421
1_7,1,0,1.633398294,365
1_7,2,0,1.470339537,223
1_7,3,0,1.815630198,371
1_7,4,0,1.96056509,164
1_7,5,0,1.242381573,159
1_7,6,0,1.567472935,315
1_7,7,0,2.936255932,449
1_7,8,0,1.878354311,420
1_7,9,0,2.164049149,472
1_7,10,0,1.840291977,381
1_7,11,0,1.922810316,428
1_7,12,0,1.654194355,334
1_7,13,0,1.264462233,185
1_7,14,0,1.335659742,189
1_7,15,0,1.976480961,423
1_7,16,0,1.442692757,218
1_7,17,0,1.987845182,417
1_7,18,0,1.877127171,421
1_7,19,0,1.50542593,251
network_id,property_id,abstract_time,total_time,size
1_8,0,3.113784313,24.0228579,230
1_8,1,1.916863441,7.871604681,148
1_8,2,1.970803499,4.133563519,189
1_8,3,2.113614559,2.460351706,131
1_8,4,1.761844158,2.048829794,112
1_8,5,1.797047615,1.945387363,113
1_8,6,2.304171801,4.091913462,171
1_8,7,3.046108246,73.61625195,214
1_8,8,2.486654043,17.22218037,191
1_8,9,5.38008523,617.109452,239
1_8,10,6.916987419,67.93967175,246
1_8,11,4.547190428,87.69283867,223
1_8,12,2.01204586,8.318902493,188
1_8,13,0,1.047324657,310
1_8,14,4.741917133,32.27700257,233
1_8,15,2.737432003,14.50099111,205
1_8,16,2.44162488,4.83567524,163
1_8,17,3.040735483,85.94625783,219
1_8,18,6.592993259,119.2112958,214
1_8,19,2.643701553,16.35938025,197
network_id,property_id,abstract_time,total_time,size
1_9,0,4.717782259,97.74251223,238
1_9,1,2.168081284,5.259595394,177
1_9,2,3.468599081,15.92818403,217
1_9,3,4.12546587,24.43990946,206
1_9,4,2.138197899,2.620180368,157
1_9,5,0,1.041965485,310
1_9,6,2.719851732,10.01691675,201
1_9,7,3.326318741,47.57866526,236
1_9,8,2.399356127,5.852763891,199
1_9,9,5.109460115,67.13654518,232
1_9,10,4.353608131,70.57378006,230
1_9,11,6.030783892,345.8449695,242
1_9,12,2.420158625,4.453110218,188
1_9,13,1.903171062,2.570596457,158
1_9,14,0,1.056992054,310
1_9,15,4.496561766,77.36463714,234
1_9,16,2.217555285,2.806903124,164
1_9,17,3.902164221,645.6069241,241
1_9,18,5.748514414,111.8264875,229
1_9,19,4.967793941,103.9466603,246
network_id,property_id,abstract_time,total_time,size
2_1,0,4.993378878,64.32967973,233
2_1,1,4.410065413,6.927975655,220
2_1,2,2.131034613,2.38904357,132
2_1,3,3.072220325,13.00957203,227
2_1,4,2.620377779,6.708593845,179
2_1,5,2.564277649,35.69397306,206
2_1,6,3.61672163,13.55475092,253
2_1,7,4.369356155,74.39430356,253
2_1,8,7.640877485,50.22107339,234
2_1,9,3.486069679,27.96246004,230
2_1,10,4.052307129,10.00551176,224
2_1,11,4.225204229,32.17456937,231
2_1,12,2.408403635,3.947547197,196
2_1,13,2.047199011,2.232596636,158
2_1,14,2.177743196,2.796335697,181
2_1,15,3.436913729,12.74179077,218
2_1,16,0,1.307186127,310
2_1,17,8.294512272,117.808193,256
2_1,18,4.245967388,26.6166501,235
2_1,19,5.454918861,16.50127745,232
network_id,property_id,abstract_time,total_time,size
2_2,0,3.249540567,21.93797708,163
2_2,1,4.074052572,107.7008243,208
2_2,2,5.290914774,17.44139075,202
2_2,3,8.990984678,96.32723355,225
2_2,4,1.713813782,2.662038088,148
2_2,5,1.222511053,1.641974449,116
2_2,6,2.645884514,6.328817844,176
2_2,7,7.450782537,90.57586956,229
2_2,8,9.253661871,27.32029915,228
2_2,9,6.025171995,254.0539289,237
2_2,10,3.547650337,27.93671679,203
2_2,11,3.407064199,123.844595,225
2_2,12,4.59924674,26.73612881,213
2_2,13,2.335930824,2.883637905,167
2_2,14,2.305220842,32.88812661,191
2_2,15,6.059493303,42.05839801,208
2_2,16,1.813569069,2.448524952,120
2_2,17,4.137139559,828.2283349,243
2_2,18,4.900741577,462.1533642,245
2_2,19,2.884676456,11.21345091,192
network_id,property_id,abstract_time,total_time,size
2_3,0,3.292190075,27.64412522,199
2_3,1,1.748634338,4.07141757,159
2_3,2,2.387387991,11.1865983,191
2_3,3,3.007680655,23.82538533,205
2_3,4,0,0.997310877,310
2_3,5,1.911112309,3.071023703,148
2_3,6,2.396713495,5.797256947,186
2_3,7,2.388104916,5.852496386,184
2_3,8,2.150308847,4.095452309,166
2_3,9,2.595098257,10.9110024,200
2_3,10,2.339328051,60.55093455,178
2_3,11,3.042958975,1189.994887,215
2_3,12,2.938300848,27.44762444,210
2_3,13,2.019333601,4.354259968,168
2_3,14,2.415300608,7.268672943,186
2_3,15,2.797755241,25.96245337,178
2_3,16,2.190059185,2.588818312,166
2_3,17,4.910636425,60.14533234,207
2_3,18,3.913390875,158.8670206,219
2_3,19,4.075307846,18.72085786,178
network_id,property_id,abstract_time,total_time,size
2_4,0,3.633918047,26.43551707,210
2_4,1,6.136733055,17.84615326,190
2_4,2,1.960389376,9.357309818,180
2_4,3,1.833075523,7.789690733,152
2_4,4,2.628195286,4.475964308,170
2_4,5,2.588283539,95.79382086,188
2_4,6,3.093592167,8.458577633,181
2_4,7,3.651072264,35.39938259,211
2_4,8,1.857132435,3.454458475,156
2_4,9,3.143260956,148.8346558,201
2_4,10,2.916654348,21.35601854,180
2_4,11,3.361437559,222.7980549,214
2_4,12,3.081892014,39.59831882,201
2_4,13,1.707320929,2.18325448,117
2_4,14,4.0677526,8.727100134,201
2_4,15,3.781853437,36.1473043,200
2_4,16,2.24811554,11.3273387,170
2_4,17,4.050236702,191.0704463,216
2_4,18,4.038546801,234.1885679,229
2_4,19,4.143953085,35.24611592,209
network_id,property_id,abstract_time,total_time,size
2_5,0,2.464799643,83.21761942,215
2_5,1,2.229470968,4.224850893,205
2_5,2,1.93782568,5.111728907,175
2_5,3,2.597485065,60.38816667,224
2_5,4,2.228117943,9.297169447,206
2_5,5,2.225374937,15.96705484,210
2_5,6,2.544470072,22.68116546,214
2_5,7,2.909583569,148.4120073,238
2_5,8,3.399951696,65.44231439,231
2_5,9,2.525584221,324.6579978,237
2_5,10,3.600221157,28.00022054,217
2_5,11,2.199407578,398.8623586,221
2_5,12,3.044931412,117.715327,225
2_5,13,1.912511349,12.29474211,166
2_5,14,1.747084856,12.25104022,158
2_5,15,2.424200058,24.06698394,203
2_5,16,4.093026876,21.10035133,224
2_5,17,3.740757942,332.5379243,232
2_5,18,2.532945871,686.541307,240
2_5,19,1.561711073,2.581893444,148
network_id,property_id,abstract_time,total_time,size
2_6,0,3.794698715,234.4574587,227
2_6,1,2.451395273,38.00183582,224
2_6,2,2.267935991,53.95619941,215
2_6,3,4.133374929,28.74709487,234
2_6,4,2.178109407,8.059173822,192
2_6,5,1.948117495,4.374639273,170
2_6,6,2.23431015,60.90636611,202
2_6,7,3.508584976,181.1163111,228
2_6,8,3.16130662,43.62357998,220
2_6,9,5.326807499,166.2793236,223
2_6,10,2.248086929,108.2651269,213
2_6,11,2.329312801,181.9143448,209
2_6,12,3.395823002,91.53729749,219
2_6,13,2.172584772,4.498411417,198
2_6,14,1.987337351,2.692340851,174
2_6,15,2.450360775,40.6597116,202
2_6,16,0,1.036194086,310
2_6,17,3.177561283,959.0649087,223
2_6,18,4.474168301,139.8780465,237
2_6,19,2.386245966,52.31020641,202
network_id,property_id,abstract_time,total_time,size
2_7,0,2.24194169,13.20384455,232
2_7,1,2.948447943,15.82367849,228
2_7,2,3.146466017,5.101277351,210
2_7,3,3.774863243,7.52128005,237
2_7,4,2.452211142,7.585913658,214
2_7,5,2.374357462,10.75312638,184
2_7,6,2.704665899,6.873819351,162
2_7,7,3.312814474,8.41674757,229
2_7,8,3.349398375,5.353306532,230
2_7,9,3.472214937,13.94282103,243
2_7,10,2.83923912,139.4252176,229
2_7,11,3.158823729,6.261651754,225
2_7,12,2.884796858,21.68581843,237
2_7,13,2.107075214,20.62964106,199
2_7,14,2.100883722,10.32639861,176
2_7,15,2.94801712,5.415516615,229
2_7,16,0,1.50839591,310
2_7,17,-,3600,-
2_7,18,3.410360575,25.97024918,239
2_7,19,2.52115345,11.36178303,210
