property_id,NARv[M]_time,Marabou_time
1,61.36998606,36000
2,377.2959716,36000
3,72.1509335,36000
4,-,-
5,61.66242361,36000
6,36000,36000
7,4940.526815,36000
8,36000,36000
9,2263.77775,36000
10,409.109839,13745.6348
11,585.7126677,91.12795687
12,229.5919158,4560.37072
13,312.4761667,36000
14,6638.288083,18161.7545
15,36000,36000
16,1570.87577,13100.84103
17,247.6190047,21198.29885
18,36000,36000
19,44.1081953,36000
20,12708.32767,36000
21,14668.51545,36000
22,519.225666,36000
23,136.5377827,313.0360415
24,3458.244449,36000
25,56.32153273,36000
