{0: -0.11794821814940293, 1: -0.661312331657987, 2: 0.274146532973613, 3: -0.20280258930612471, 4: 0.2851566357961304}
{0: 0.12914285531630232, 1: 0.28710333427350854, 2: -0.08673870909386161, 3: -0.14463544234536796, 4: -0.3600267931092813}
{0: 0.15404554021584804, 1: 0.035858517863765815, 2: 0.29831623139177976, 3: -0.13045211584863758, 4: -0.1512757825882003}
{0: 0.39290532648036214, 1: 0.18288262352813578, 2: 0.40804901731917687, 3: 0.6513837665041426, 4: -0.4203027380975728}
{0: 0.7645586719407531, 1: -0.08942064077712675, 2: 0.25251533074685417, 3: -0.20636566176993054, 4: 0.7941683648313957}
{0: 0.7285103811760716, 1: 0.5595961227306392, 2: 0.4024500970351099, 3: -0.49900152368161055, 4: -0.24075033917542177}
{0: 0.3788001007396449, 1: -0.16820281321514075, 2: -0.5767312341302568, 3: -0.6310685206481561, 4: 0.7883995369657071}
{0: 0.7550885910677709, 1: -0.3269717243561483, 2: 0.3740731197959113, 3: 0.26298882209657837, 4: 0.4168803017616445}
{0: 0.1399824009847237, 1: -0.39655854784130784, 2: 0.6755614874068072, 3: 0.2377614216196493, 4: 0.03909784000469485}
{0: 0.5872879238790174, 1: -0.5246132867096429, 2: -0.33500710729903327, 3: -0.6056365213411079, 4: 0.9265501258460087}
{0: 0.42658056856701676, 1: 0.050994938877663376, 2: 0.43096591690608843, 3: -0.007965931356373579, 4: 0.33957542368688975}
{0: 0.4347336051084836, 1: 0.3495608106973569, 2: 0.2148029290779374, 3: 0.5140474885364237, 4: 0.8331456904488856}
{0: -0.2068783589765526, 1: -0.2509187466855396, 2: -0.23970222100117633, 3: -0.39101117436504973, 4: 0.6842449206937737}
{0: 0.3581033390055697, 1: -0.13766709801886057, 2: -0.057671362941572824, 3: -0.521679275530635, 4: 0.6266312410656798}
{0: 0.7760066055803438, 1: -0.062376866474374015, 2: 0.2911011893086515, 3: -0.47345961148054805, 4: -0.2672157266637316}
{0: 0.7824282522346773, 1: 0.21376226251783792, 2: 0.1394156185188109, 3: -0.10740071534498741, 4: 0.515878250778822}
{0: 0.5267563569615281, 1: 0.08688704907450617, 2: 0.08819093831584679, 3: 0.8332673752959989, 4: 0.18698220936652987}
{0: 0.23488649747824675, 1: -0.15688650239559787, 2: 0.4346025460387868, 3: 0.046348391953567436, 4: -0.2825493853840366}
{0: 0.6954730299996468, 1: -0.22375635105595815, 2: 0.42481694678143156, 3: -0.10229966555332659, 4: 0.9353978313902584}
{0: 0.8641227163022742, 1: -0.545816549227254, 2: -0.2682577768925287, 3: 0.9334968101679433, 4: 0.4910684238037628}
{0: 0.07472915330874197, 1: -0.5357551002695053, 2: -0.6047696060301349, 3: -0.0600134535551311, 4: -0.17561658291982352}
{0: 0.24795077622924477, 1: -0.11261807887675901, 2: -0.11040007313778011, 3: -0.29230455316955717, 4: 0.7833073886236313}
{0: 0.2009114986933378, 1: 0.30441314591428936, 2: 0.20466308362069952, 3: -0.09865270005616544, 4: 0.022485217365470156}
{0: 0.7831138169403999, 1: 0.3443286187343306, 2: 0.2533377454786101, 3: 0.7671315028835843, 4: 0.2658105498171932}
{0: 0.6140253217946843, 1: 0.16047528437732295, 2: -0.3624298777003976, 3: 0.5471549967927212, 4: 0.21976444443693088}
{0: 0.026214234188429497, 1: -0.7344813683998148, 2: -0.85406283758242, 3: -0.18802957378843344, 4: 0.4058414013194933}
{0: 0.49324405169434193, 1: 0.15521488643819104, 2: 0.48203132835906604, 3: -0.41701604702561546, 4: -0.2755849994559887}
{0: 0.276480110532622, 1: -0.2273050361732556, 2: 0.4114215592459458, 3: -0.2581100604951714, 4: 0.4370417709083725}
{0: 0.6366595069575753, 1: 0.1938304208611108, 2: -0.11316083699593737, 3: -0.3461779921545598, 4: 0.9476645713488203}
{0: 0.7886064230733598, 1: -0.38825670095528175, 2: 0.3558190009354085, 3: -0.261563987983606, 4: -0.02715554935557485}
{0: 0.29775735082693067, 1: 0.1894352523609122, 2: 0.007741548297579781, 3: -0.26179855898600346, 4: 0.3781694819339574}
{0: 0.41182767504523965, 1: 0.37380692093720813, 2: -0.13991275417749915, 3: 0.39659031400263056, 4: 0.006360389494006968}
{0: 0.17057150416988698, 1: -0.07396937208995413, 2: -0.3061834576439013, 3: -0.6646183326286779, 4: 0.12366865206945565}
{0: 0.9528206375251609, 1: -0.5266808472200322, 2: -0.5646062183562663, 3: -0.6107692587912226, 4: 0.25710371405566246}
